gen	nevals	life_avg	avg    	std        	min     	max    
91 	126   	73.7619 	92.647 	2.84217e-14	92.647  	92.647 
92 	147   	71.5782 	92.6463	0.00742873 	92.5724 	92.647 
93 	146   	72.411  	92.647 	2.84217e-14	92.647  	92.647 
94 	140   	71.3857 	92.647 	2.84217e-14	92.647  	92.647 
95 	129   	71.969  	92.647 	2.84217e-14	92.647  	92.647 
96 	135   	68.1778 	92.647 	2.84217e-14	92.647  	92.647 
97 	143   	74.979  	92.647 	2.84217e-14	92.647  	92.647 
98 	143   	68.6294 	92.647 	2.84217e-14	92.647  	92.647 
99 	135   	66.563  	92.647 	2.84217e-14	92.647  	92.647 
100	144   	69.2222 	92.647 	2.84217e-14	92.647  	92.647 
n_hidden_neurons = 10
domain_upper = 1
domain_lower = -1
n_pop = 100
n_gens = 100
mutation_p = 0.2
cross_p = 0.5
Mu = 100
Lambda = 200
Algorithm = Mu + Lambda
